user_id,age,age_group,filled_age,country
8,33.0,unknown_age,True,Canada
9,33.0,unknown_age,True,United States
10,26.0,early_adult,False,Spain
12,33.0,unknown_age,True,United States
14,33.0,unknown_age,True,United States
16,33.0,unknown_age,True,Mexico
17,33.0,unknown_age,True,United States
19,14.0,teen,False,United States
22,33.0,unknown_age,True,Germany
26,33.0,unknown_age,True,United States
32,33.0,unknown_age,True,United States
39,33.0,unknown_age,True,United States
42,17.0,teen,False,United States
44,51.0,late_adult,False,United States
51,34.0,early_adult,False,United States
53,33.0,unknown_age,True,United States
56,24.0,young_adult,False,United States
64,32.0,early_adult,False,France
67,43.0,mid_adult,False,United States
69,33.0,unknown_age,True,Canada
70,44.0,mid_adult,False,United States
73,33.0,unknown_age,True,United States
75,37.0,mid_adult,False,United States
78,18.0,young_adult,False,United States
81,33.0,unknown_age,True,United States
82,33.0,unknown_age,True,United States
83,33.0,unknown_age,True,United States
85,41.0,mid_adult,False,United Kingdom
86,33.0,unknown_age,True,United States
87,33.0,unknown_age,True,United States
88,33.0,unknown_age,True,Georgia
91,33.0,unknown_age,True,United States
92,20.0,young_adult,False,Spain
97,33.0,unknown_age,True,United States
99,42.0,mid_adult,False,United States
102,33.0,unknown_age,True,Spain
107,33.0,unknown_age,True,Canada
109,20.0,young_adult,False,India
110,33.0,unknown_age,True,United States
114,57.0,late_adult,False,United States
125,49.0,mid_adult,False,United States
129,47.0,mid_adult,False,United States
133,45.0,mid_adult,False,United States
137,33.0,unknown_age,True,Canada
141,33.0,unknown_age,True,United States
160,20.0,young_adult,False,Portugal
162,33.0,unknown_age,True,United States
165,62.0,late_adult,False,United States
169,33.0,unknown_age,True,United States
176,34.0,early_adult,False,United Kingdom
178,28.0,early_adult,False,United States
182,36.0,mid_adult,False,Netherlands
183,27.0,early_adult,False,Portugal
185,17.0,teen,False,United States
190,33.0,early_adult,False,Belgium
202,28.0,early_adult,False,Canada
212,21.0,young_adult,False,Philippines
215,20.0,young_adult,False,Canada
217,33.0,unknown_age,True,United States
224,33.0,unknown_age,True,United States
226,33.0,unknown_age,True,United States
228,41.0,mid_adult,False,United States
230,33.0,unknown_age,True,United States
232,16.0,teen,False,India
242,37.0,mid_adult,False,Germany
243,33.0,unknown_age,True,United States
244,33.0,unknown_age,True,United States
247,23.0,young_adult,False,Greece
249,29.0,early_adult,False,Netherlands
254,24.0,young_adult,False,United States
256,33.0,unknown_age,True,United States
